Sampling date(mm/dd/yyyy)	Field	Experiment number	plot number	Ntrt	NAdd(g/m2/yr)	BurnTrt	Species Name	Species Biomass (g/m2)	Maximum plant height (cm)	Median plant height (cm)	Subplot	LastYrNtrtRec
8/4/1982	A	2	1	5	16	0	Agropyron repens	110.533	77	46	Whole	1982
8/4/1982	A	2	1	5	16	0	Achillea millefolium(lanulosa)	1.833	-2	-2	Whole	1982
8/4/1982	A	2	1	5	16	0	Ambrosia coronopifolia	163.333	85	64	Whole	1982
8/4/1982	A	2	1	5	16	0	Euphorbia glyptosperma	0.117	5.5	5.5	Whole	1982
8/4/1982	A	2	1	5	16	0	Polygonum convolvulus	23.467	-2	-2	Whole	1982
8/4/1982	A	2	1	5	16	0	Miscellaneous litter	0	-3	-3	Whole	1982
8/4/1982	A	2	2	9	0	0	Mollugo verticillata	0.24	-2	-2	Whole	1991
8/4/1982	A	2	2	9	0	0	Miscellaneous litter	0	-3	-3	Whole	1991
8/4/1982	A	2	2	9	0	0	Agropyron repens	65.467	59	36	Whole	1991
8/4/1982	A	2	2	9	0	0	Setaria lutescens	5.733	42	42	Whole	1991
8/4/1982	A	2	2	9	0	0	Ambrosia coronopifolia	52.733	67	42	Whole	1991
8/4/1982	A	2	2	9	0	0	Berteroa incana	37.9	67	53	Whole	1991
8/4/1982	A	2	2	9	0	0	Euphorbia (supina)	0.573	-2	-2	Whole	1991
8/4/1982	A	2	2	9	0	0	Polygonum convolvulus	8.5	-2	-2	Whole	1991
8/4/1982	A	2	3	9	0	0	Setaria lutescens	0.05	40	40	Whole	1982
8/4/1982	A	2	3	9	0	0	Ambrosia coronopifolia	155.333	78	55	Whole	1982
8/4/1982	A	2	3	9	0	0	Berteroa incana	1.8	48	48	Whole	1982
8/4/1982	A	2	3	9	0	0	Chenopodium album	0.4	-2	-2	Whole	1982
8/4/1982	A	2	3	9	0	0	Euphorbia glyptosperma	14.033	-2	-2	Whole	1982
8/4/1982	A	2	3	9	0	0	Polygonum convolvulus	9.367	-2	-2	Whole	1982
8/4/1982	A	2	3	9	0	0	Mollugo verticillata	4	-2	-2	Whole	1982
8/4/1982	A	2	3	9	0	0	Agropyron repens	31.933	41	33	Whole	1982
8/4/1982	A	2	4	2	3	0	Euphorbia (supina)	4.1	-2	-2	Whole	1991
8/4/1982	A	2	4	2	3	0	Miscellaneous litter	0	-3	-3	Whole	1991
8/4/1982	A	2	4	2	3	0	Agropyron repens	55.767	45	30	Whole	1991
8/4/1982	A	2	4	2	3	0	Setaria lutescens	0.463	24	24	Whole	1991
8/4/1982	A	2	4	2	3	0	Ambrosia artemisiifolia	39.733	65	53	Whole	1991
8/4/1982	A	2	4	2	3	0	Berteroa incana	15.767	54	26	Whole	1991
8/4/1982	A	2	4	2	3	0	Polygonum convolvulus	4.8	-2	-2	Whole	1991
8/4/1982	A	2	4	2	3	0	Mollugo verticillata	7.2	-2	-2	Whole	1991
8/4/1982	A	2	5	8	80	0	Panicum capillare	4.267	59	48.5	Whole	1982
8/4/1982	A	2	5	8	80	0	Ambrosia artemisiifolia	256.2	87	70	Whole	1982
8/4/1982	A	2	5	8	80	0	Berteroa incana	0.673	21	21	Whole	1982
8/4/1982	A	2	5	8	80	0	Chenopodium album	0.61	-2	-2	Whole	1982
8/4/1982	A	2	5	8	80	0	Polygonum convolvulus	44.333	-2	-2	Whole	1982
8/4/1982	A	2	5	8	80	0	Agropyron repens	153	69	48	Whole	1982
8/4/1982	A	2	6	9	0	0	Berteroa incana	12.767	51	35	Whole	1991
8/4/1982	A	2	6	9	0	0	Agropyron repens	18.1	35	24	Whole	1991
8/4/1982	A	2	6	9	0	0	Setaria lutescens	8.433	62	31	Whole	1991
8/4/1982	A	2	6	9	0	0	Ambrosia coronopifolia	46.533	62	44	Whole	1991
8/4/1982	A	2	6	9	0	0	Polygonum convolvulus	18.667	-2	-2	Whole	1991
8/4/1982	A	2	6	9	0	0	Digitaria ischaemum	0.667	-2	-2	Whole	1991
8/4/1982	A	2	7	9	0	0	Agropyron repens	47.633	42.5	35	Whole	1991
8/4/1982	A	2	7	9	0	0	Poa pratensis	9.2	27	16	Whole	1991
8/4/1982	A	2	7	9	0	0	Digitaria ischaemum	1.733	37.5	18	Whole	1991
8/4/1982	A	2	7	9	0	0	Achillea millefolium(lanulosa)	1.733	-2	-2	Whole	1991
8/4/1982	A	2	7	9	0	0	Ambrosia artemisiifolia	2.7	48.5	27	Whole	1991
8/4/1982	A	2	7	9	0	0	Polygonum convolvulus	0.59	-2	-2	Whole	1991
8/4/1982	A	2	7	9	0	0	Setaria lutescens	9.933	46	30	Whole	1991
8/4/1982	A	2	8	4	10	0	Agrostis scabra	0.243	-2	-2	Whole	1991
8/4/1982	A	2	8	4	10	0	Polygonum persicaria	6.5	57	51.5	Whole	1991
8/4/1982	A	2	8	4	10	0	Polygonum convolvulus	24.6	-2	-2	Whole	1991
8/4/1982	A	2	8	4	10	0	Hedeoma hispida	0.457	18	15.8	Whole	1991
8/4/1982	A	2	8	4	10	0	Berteroa incana	21.467	54	47	Whole	1991
8/4/1982	A	2	8	4	10	0	Setaria lutescens	163.167	96	71	Whole	1991
8/4/1982	A	2	8	4	10	0	Agropyron repens	64.667	84	53	Whole	1991
8/4/1982	A	2	8	4	10	0	Miscellaneous litter	0	-3	-3	Whole	1991
8/4/1982	A	2	8	4	10	0	Ambrosia artemisiifolia	70.033	90	69	Whole	1991
8/4/1982	A	2	9	6	28	0	Digitaria ischaemum	6.7	41	24	Whole	1991
8/4/1982	A	2	9	6	28	0	Agropyron repens	102.633	78	43	Whole	1991
8/4/1982	A	2	9	6	28	0	Setaria viridis	2.667	75	39	Whole	1991
8/4/1982	A	2	9	6	28	0	Ambrosia coronopifolia	227.233	91	65	Whole	1991
8/4/1982	A	2	9	6	28	0	Berteroa incana	21.9	55	41	Whole	1991
8/4/1982	A	2	9	6	28	0	Chenopodium album	0.533	38	30.5	Whole	1991
8/4/1982	A	2	9	6	28	0	Euphorbia glyptosperma	3.233	-2	-2	Whole	1991
8/4/1982	A	2	9	6	28	0	Polygonum convolvulus	37.567	-2	-2	Whole	1991
