Species,LCD_Species,Justification_1,Justification_2,FunctionalGroup,Duration,Origin
Agropyron repens,Agropyron repens,,,C3,Perennial,Introduced
Agrostis alba,Agrostis scabra,Rare species, common database entry error,C3,Perennial,Native
Agrostis scabra,Agrostis scabra,,,C3,Perennial,Native
Agrostis sp.,Agrostis scabra,Rare species, common database entry error,C3,Perennial,Native
Bromus inermis,Bromus inermis,,,C3,Perennial,Introduced
Danthonia spicata,Danthonia spicata,,,C3,Perennial,Native
hairy brome,Bromus inermis,No other congeners,,C3,Perennial,Introduced
Koeleria cristata,Koeleria cristata,,,C3,Perennial,Native
Panicum oligosanthes,Panicum oligosanthes,,,C3,Perennial,Native
Panicum perlongum,Panicum perlongum,,,C3,Perennial,Native
Panicum praecocious,Panicum praecocious,,,C3,Perennial,Native
Panicum sp.,Panicum sp.,,,C3,Perennial,Native
Phalaris arundinacea,Phalaris arundinacea,,,C3,Perennial,Introduced
Phleum pratense,Phleum pratense,,,C3,Perennial,Introduced
Poa compressa,Poa pratensis,Rare species, common database entry error,C3,Perennial,Introduced
Poa palustris,Poa pratensis,Rare species, common database entry error,C3,Perennial,Introduced
Poa pratensis,Poa pratensis,Rare species, common database entry error,C3,Perennial,Introduced
Poa sp.,Poa pratensis,No other congeners,,C3,Perennial,Introduced
Secale cereale,Secale cereale,,,C3,Annual,Introduced
Stipa comata,Stipa spartea,Inconsistent IDs across years,,C3,Perennial,Native
stipa sp.,Stipa spartea,No other congeners,,C3,Perennial,Native
Stipa sp.,Stipa spartea,No other congeners,,C3,Perennial,Native
Stipa spartea,Stipa spartea,,,C3,Perennial,Native
Stipa spicata,Stipa spartea,Inconsistent IDs across years,,C3,Perennial,Native
Zea mays,Zea mays,,,C3,Annual,Introduced
Andropogon gerardi,Andropogon gerardi,,,C4,Perennial,Native
Aristida basiramea,Aristida basiramea,,,C4,Annual,Native
Aristida sp.,Aristida sp.,,,C4,Annual,Native
Aristida tuberculosa,Aristida tuberculosa,,,C4,Annual,Native
Bouteloua curtipendula,Bouteloua curtipendula,,,C4,Perennial,Native
Bouteloua hirsuta,Bouteloua hirsuta,,,C4,Perennial,Native
Buchloe dactyloides,Buchloe dactyloides,,,C4,Perennial,Native
Calamovilfa longifolia,Calamovilfa longifolia,,,C4,Perennial,Native
Calamovilfa sp.,Calamovilfa longifolia,No other congeners,,C4,Perennial,Native
