Year,Field,Transect,Plot,Group,Cover_Bareground,Cover_Litter,Cover_Group
1983,4,G,1,C3_Perennial,0.35,0.15,0.3
1983,4,G,1,Annual,0.35,0.15,0.2
1983,4,G,2,C3_Perennial,0.500500501,0.1001001,0.25025025
1983,4,G,2,Annual,0.500500501,0.1001001,0.139139139
1983,4,G,2,Forb_Perennial,0.500500501,0.1001001,0.01001001
1983,4,G,3,C3_Perennial,0.53560683,0.080240721,0.25275827
1983,4,G,3,Annual,0.53560683,0.080240721,0.130391171
1983,4,G,4,C3_Perennial,0.4,0.12,0.245
1983,4,G,4,Annual,0.4,0.12,0.215
1983,4,G,5,C3_Perennial,0.57,0.1,0.24
1983,4,G,5,Annual,0.57,0.1,0.06
1983,4,G,6,C3_Perennial,0.32,0.25,0.305
1983,4,G,6,Annual,0.32,0.25,0.015
1983,4,G,7,C3_Perennial,0.37,0.22,0.245
1983,4,G,7,Annual,0.37,0.22,0.015
1983,4,G,8,C3_Perennial,0.5,0.1,0.325
1983,4,G,8,Annual,0.5,0.1,0.025
1983,4,G,9,C3_Perennial,0.5,0.15,0.25
1983,4,G,10,C3_Perennial,0.4,0.25,0.24
1983,4,G,10,Annual,0.4,0.25,0.01
1983,4,G,11,C3_Perennial,0.45,0.15,0.265
1983,4,G,11,Annual,0.45,0.15,0.085
1983,4,G,12,C3_Perennial,0.605,0.02,0.14
1983,4,G,12,Annual,0.605,0.02,0.175
1983,4,G,12,Forb_Perennial,0.605,0.02,0.04
1983,4,G,13,C3_Perennial,0.54,0.03,0.2
1983,4,G,13,Annual,0.54,0.03,0.195
1983,4,G,13,Forb_Perennial,0.54,0.03,0.03
1983,4,G,14,C3_Perennial,0.43,0.15,0.24
1983,4,G,14,Annual,0.43,0.15,0.125
1983,4,G,14,Forb_Perennial,0.43,0.15,0.05
1983,4,G,15,C3_Perennial,0.45,0.25,0.155
1983,4,G,15,Annual,0.45,0.25,0.125
1983,4,G,15,Forb_Perennial,0.45,0.25,0.01
1983,4,G,16,C3_Perennial,0.6,0.1,0.27
1983,4,G,16,Annual,0.6,0.1,0.02
1983,4,G,17,C3_Perennial,0.450901804,0.200400802,0.306613226
1983,4,G,17,Annual,0.450901804,0.200400802,0.012024048
1983,4,G,18,C3_Perennial,0.5,0.1,0.325
1983,4,G,18,Annual,0.5,0.1,0.015
1983,4,G,18,Forb_Perennial,0.5,0.1,0.03
1983,4,G,19,C3_Perennial,0.4,0.18,0.3
1983,4,G,19,Annual,0.4,0.18,0.02
1983,4,G,19,Forb_Perennial,0.4,0.18,0.08
1983,4,G,20,C3_Perennial,0.334337343,0.188755012,0.278112463
1983,4,G,20,Annual,0.334337343,0.188755012,0.171686749
1983,4,G,20,Forb_Perennial,0.334337343,0.188755012,0.00502008
1983,4,G,21,C3_Perennial,0.3003003,0.3003003,0.24024024
1983,4,G,21,Annual,0.3003003,0.3003003,0.158158158
1983,4,G,22,C3_Perennial,0.6,0.005,0.12
1983,4,G,22,Annual,0.6,0.005,0.275
1983,4,G,23,C3_Perennial,0.250501002,0.350701403,0.300601202
1983,4,G,23,Annual,0.250501002,0.350701403,0.048096192
1983,4,G,23,Forb_Perennial,0.250501002,0.350701403,0.04008016
1983,4,G,24,C3_Perennial,0.22,0.125,0.17
1983,4,G,24,Annual,0.22,0.125,0.03
1983,4,G,24,Forb_Perennial,0.22,0.125,0.005
1983,4,G,24,C4S_Perennial,0.22,0.125,0.45
1983,4,G,25,C3_Perennial,0.3,0.25,0.29
1983,4,G,25,Annual,0.3,0.25,0.16
1983,4,R,1,C3_Perennial,0.697394784,0.12925852,0.148296596
1983,4,R,1,Annual,0.697394784,0.12925852,0.01503006
1983,4,R,2,C3_Perennial,0.3,0.43,0.255
1983,4,R,2,Annual,0.3,0.43,0.005
1983,4,R,3,C3_Perennial,0.84,0.02,0.11
1983,4,R,3,Annual,0.84,0.02,0.03
1983,4,R,4,C3_Perennial,0.437875766,0.298597187,0.258517027
1983,4,R,5,C3_Perennial,0.199398798,0.477955922,0.303607204
1983,4,R,6,C3_Perennial,0.495,0.21,0.21
1983,4,R,6,Annual,0.495,0.21,0.015
1983,4,R,6,Forb_Perennial,0.495,0.21,0.01
1983,4,R,7,C3_Perennial,0.50903615,0.149598392,0.248995981
1983,4,R,7,Annual,0.50903615,0.149598392,0.04317269
1983,4,R,8,C3_Perennial,0.399598396,0.248995981,0.29819277
1983,4,R,8,Annual,0.399598396,0.248995981,0.024096386
1983,4,R,9,C3_Perennial,0.448795191,0.289156616,0.178714859
1983,4,R,9,Annual,0.448795191,0.289156616,0.054216867
1983,4,R,10,C3_Perennial,0.45,0.28,0.25
