"scale","tscale","iter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
0.01,1,1,-2.07944154167984,NA,0.405465108108164,1.70474809223843,-0.287682072451781,0,0.287682072451781,1.09861228866811,1.73460105538811,1.94591014905531,2.30258509299405,1.70474809223843,-0.510825623765991,-0.510825623765991,NA,-0.117783035656383,-0.916290731874155,0.587786664902119,NA,-0.587786664902119,1.67397643357167,1.6094379124341,0,1.54044504094715,0,0.136313292868521,0,0.17773453493593,0,0.213453944749217,0,0.167101145889464,0,0.175695558213076,0,0.448092145526544,0,0.309765936642442,0,0.175833171669762
0.01,2,1,-0.346573590279973,NA,-0.346573590279973,NA,-0.235001814622868,0.423648930193602,0.143841036225891,0.458145365937077,1.11679611075355,1.28247467873077,1.2211735176846,1.07003308174814,-0.458145365937077,-0.111571775657105,NA,-0.752038698388137,NA,0,NA,-1.09861228866811,1.01844096363052,0.895879734614028,-Inf,0.972955074527657,51,0.138402854690612,48,0.175950028080663,48,0.229829240109904,45,0.17058863351379,51,0.177595439706049,42,0.491342201121994,51,0.300874408424505,42,0.216642661422769
0.01,3,1,-0.0958940241505937,0,-0.597253156409352,NA,NA,-0.366204096222703,-0.135155036036055,-0.231049060186648,0.744530740502365,0.732408192445406,0.934453460302178,0.671634340180755,-0.0743811837714032,-0.305430243958052,NA,-0.732408192445406,NA,-0.5364793041447,NA,-0.732408192445406,0.632373328295294,0.597253156409352,NA,0.706754512066697,102,0.139769366353656,96,0.180728417506385,96,0.230005102921278,91,0.199103401788851,102,0.176933992083858,84,0.611446762018102,102,0.299672116478463,84,0.215165268579282
0.01,4,1,-0.519860385419959,-0.458145365937077,-0.0455803891984887,1.40168019045327,NA,0.0719205181129453,-0.0455803891984886,0.173286795139986,0.599473818199593,0.535016540874068,0.631432161077064,0.426187023059606,-0.127706405941498,-0.402359478108525,NA,NA,-0.178337471969366,-0.229072682968539,NA,0.0719205181129453,0.539871062338343,0.486477537263828,NA,0.583843728954259,153,0.147721303529105,145,0.201996578721664,145,0.225764595024148,137,0.222607557611419,153,0.186877515573565,126,0.692753860542578,153,0.315993099203587,126,0.228403883550135
0.01,5,1,0.0810930216216329,-0.305430243958052,0.0575364144903562,0.568249364079475,0.0743811837714032,-0.0810930216216329,1.66533453693773e-17,-0.138629436111989,0.48554964718961,0.479579054559674,0.541610040220442,0.402980604108453,-0.044628710262842,-0.183258146374831,NA,NA,-0.401324268108645,-0.102165124753198,NA,-0.162186043243266,0.415888308335967,0.415888308335967,NA,0.467074983163407,204,0.145819176017638,193,0.195268616863268,193,0.222020146446438,182,0.244992270920003,204,0.17313371324987,168,0.755439874737609,204,0.296618406599495,168,0.259610287050873
0.01,6,1,-0.115524530093324,-0.229072682968539,0.0479470120752968,0.599473818199593,0.157152164855593,-0.183102048111352,-0.115524530093324,0.115524530093324,0.423162311843046,0.399649212133062,0.43984288826921,0.324318358175886,-0.0851376039609985,-0.0371905918857016,NA,-0.677012550275553,2.77555756156289e-17,-0.0851376039609985,NA,-0.0979644441503531,0.353377256033349,0.332071694115034,NA,0.399649212133062,255,0.138961564415561,241,0.200770763011369,241,0.214025670753396,228,0.238219980076137,255,0.172424216955432,210,0.623624732710316,255,0.298732869594211,210,0.385040657286254
0.01,7,1,-0.297063077382834,-0.183258146374831,-0.0260459366848507,0.479579054559674,0.295181303961915,0.041097438921683,-0.156944612666873,0.130898675982022,0.358900803425159,0.328940727570578,0.377008189945037,0.214868199539468,-0.130898675982022,-0.2299197017763,NA,-0.345444189618097,-0.460517018598809,-0.2299197017763,NA,-0.313889225333746,0.324097648759766,0.313889225333746,NA,0.380369689575065,306,0.140228844489596,290,0.194204796014977,290,0.226855135510074,274,0.227347345250287,306,0.183022928631704,252,0.72197930856613,306,0.306620256987463,252,0.39119280793298
0.01,8,1,0.0506831385135206,0.0560787061035355,0.0506831385135205,0.399649212133062,0.335817170090377,-6.93889390390723e-18,0.0359602590564726,0.0506831385135205,0.307091971602663,0.274653072167027,0.361296469737021,0.223969933653507,-0.201179739054263,-0.201179739054263,NA,-0.250679566129379,-0.383764182165674,-0.0638532029707488,NA,-0.188009674597034,0.274653072167027,0.259930192709979,NA,0.317371733882285,357,0.138964393496582,338,0.210392783177731,338,0.22933845728323,319,0.228327248290569,357,0.176265187181476,294,0.810640376529597,357,0.328476037711606,294,0.387923424232741
0.01,9,1,-0.231049060186648,-0.0729750891094272,-0.0202579507548838,0.441577493336902,0.275413091936091,0.144364776014473,-0.0770163533955495,0.0770163533955495,0.269749803994228,0.261263917462609,0.280636516034251,0.216212238783924,-0.1788264347149,-0.101810081319351,NA,-0.265821762959287,NA,-0.1788264347149,NA,-0.0901033573573698,0.25584278811045,0.210791109431765,NA,0.279145069330679,408,0.137119237950801,386,0.193495076245801,386,0.224194561236322,365,0.234718918564603,408,0.180969128827804,336,0.864317540876598,408,0.31816305132911,336,0.361599655539891
0.01,10,1,5.55111512312578e-18,1.38777878078145e-17,-0.179175946922806,0.213093511529803,-0.058750453655717,0.0693147180559945,-0.0693147180559945,0.0693147180559945,0.242774823594805,0.194591014905531,0.235137525716348,0.194591014905531,-0.16094379124341,-0.0916290731874155,NA,-0.47583281122129,NA,0.0470003629245735,NA,-0.150407739677627,0.215948424935337,0.194591014905531,NA,0.226868354131836,459,0.152718224321005,435,0.204370095041102,435,0.231970906587829,411,0.245666657248112,459,0.193921290835839,378,0.92841039488274,459,0.311826114171634,378,0.390120584210897
